"ad_date","campaign_name","adset_name","spend","impressions","reach","clicks","leads","value","url_parameters","media_source"
2022-11-05,Expansion,Products,0,0,0,0,0,0,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-11-05,Expansion,Products,0,0,0,0,0,0,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-11-01,Expansion,Products,0,0,0,0,0,0,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-11-01,Expansion,Products,0,0,0,0,0,0,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-10-31,Expansion,Products,22745,6054,8858,58,1,19187,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-10-31,Expansion,Products,14153,6922,4800,29,2,20471,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-10-30,Expansion,Products,33591,27562,30478,69,4,47261,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-10-30,Expansion,Products,41590,28477,10256,120,2,36189,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-10-29,Expansion,Products,71403,33358,7757,115,3,68034,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-10-29,Expansion,Products,49801,26075,15090,81,0,67070,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-10-28,Expansion,Products,63033,5522,8665,121,3,59000,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-10-27,Expansion,Products,35963,45223,13859,87,3,37669,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-10-27,Expansion,Products,48639,9899,33251,22,5,54958,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-07-11,Expansion,Products,3302,2674,4950,40,2,4702,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-07-11,Expansion,Products,8565,5476,8407,39,0,6515,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-07-10,Expansion,Products,23434,11266,14152,74,5,25462,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-07-09,Expansion,Products,46170,25300,22293,53,2,35511,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-07-09,Expansion,Products,36999,10887,6800,12,3,27714,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-07-08,Expansion,Products,17148,11348,6526,98,1,18534,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-07-07,Hobbies,Unlimited,0,0,0,0,0,0,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-07-07,Expansion,Products,36203,3797,22445,134,0,30496,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-07-07,Hobbies,Unlimited,0,0,0,0,0,0,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-07-06,Expansion,Products,59029,8726,19609,39,3,61648,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-07-06,Expansion,Products,54317,11383,8135,23,6,44371,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-07-05,Expansion,Products,38764,11470,7378,138,3,65817,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-07-05,Hobbies,Unlimited,0,0,0,0,0,0,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-07-05,Hobbies,Tinkering,0,0,0,0,0,0,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-07-05,Expansion,Products,21516,9106,4686,104,4,27538,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-07-05,Hobbies,Tinkering,0,0,0,0,0,0,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-07-04,Expansion,Products,48816,9719,5540,145,7,74066,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-07-04,Hobbies,Tinkering,0,0,0,0,0,0,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-07-04,Hobbies,Tinkering,0,0,0,0,0,0,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-07-03,Expansion,Products,49898,6802,7073,36,2,71734,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-07-03,Hobbies,Specific,0,0,0,0,0,0,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-07-03,Expansion,Products,39514,26865,28214,84,2,28047,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-07-03,Hobbies,Specific,0,0,0,0,0,0,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-07-02,Expansion,Products,51073,18550,25574,31,0,54589,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-07-02,Hobbies,Specific,0,0,0,0,0,0,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-07-02,Hobbies,Unlimited,0,0,0,0,0,0,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-07-02,Hobbies,Tinkering,0,0,0,0,0,0,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-07-02,Hobbies,Quick,0,0,0,0,0,0,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-07-02,Expansion,Products,48577,10272,20402,19,0,42664,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-07-02,Hobbies,Specific,0,0,0,0,0,0,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-07-02,Hobbies,Quick,0,0,0,0,0,0,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-07-02,Hobbies,Unlimited,0,0,0,0,0,0,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-07-01,Expansion,Products,38320,20914,33213,119,2,30939,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-07-01,Hobbies,Specific,2247,17193,6377,75,1,3895,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-07-01,Hobbies,Tinkering,2663,7534,2694,26,1,3572,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-07-01,Hobbies,Quick,1485,9377,1928,40,1,1438,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-07-01,Hobbies,Unlimited,4071,14015,9046,74,0,5604,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-07-01,Expansion,Products,55589,27205,25214,84,1,70210,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-07-01,Hobbies,Quick,1629,1532,7277,9,0,2231,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-07-01,Hobbies,Unlimited,490,8516,15716,90,1,693,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-30,Expansion,Products,20624,13695,23148,44,2,20327,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-06-30,Hobbies,Tinkering,5784,45014,39124,98,4,9238,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-30,Hobbies,Quick,2374,16182,12121,46,1,3977,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-30,Hobbies,Specific,2435,8407,18936,28,2,4082,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-30,Hobbies,Unlimited,2349,24851,11809,121,0,3297,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-30,Expansion,Products,37053,6128,24850,124,4,27613,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-06-30,Hobbies,Quick,3331,4639,14676,86,2,2185,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-30,Hobbies,Specific,3014,21246,8849,28,3,4397,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-29,Expansion,Products,30704,4843,7620,56,3,47929,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-06-29,Hobbies,Tinkering,9508,13454,16717,67,7,9269,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-29,Expansion,Products,40144,13377,12567,48,0,32437,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-06-29,Hobbies,Tinkering,1734,43376,5563,192,1,2114,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-29,Hobbies,Unlimited,4375,26661,20528,137,7,3921,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-28,Expansion,Products,32228,6133,7631,13,2,29748,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-06-28,Hobbies,Tinkering,7239,19876,43029,69,4,7573,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-28,Hobbies,Unlimited,3423,12196,39868,213,2,2775,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-28,Expansion,Products,46784,2943,3822,16,1,39897,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-06-28,Hobbies,Tinkering,2738,35639,43503,92,3,3719,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-28,Hobbies,Unlimited,6334,8119,29995,133,0,8177,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-27,Expansion,Products,54780,27268,8392,108,4,87195,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-06-27,Hobbies,Tinkering,1970,24050,47874,75,2,3290,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-27,Hobbies,Unlimited,1169,32891,30386,44,3,1869,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-27,Expansion,Products,26211,23662,12344,69,4,37034,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-06-27,Hobbies,Tinkering,2357,45813,35546,117,2,3517,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-27,Hobbies,Unlimited,3809,38218,13913,207,2,5741,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-26,Expansion,Products,51452,6387,15096,45,3,85670,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-06-26,Hobbies,Unlimited,7267,23971,11466,207,1,6223,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-26,Expansion,Products,10176,6929,2705,79,3,16705,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-06-26,Hobbies,Unlimited,2402,10929,27300,134,3,3243,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-25,Expansion,Products,26730,11977,14821,66,1,38895,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-06-25,Hobbies,Tinkering,3143,21165,31323,130,4,5405,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-25,Expansion,Products,18577,18451,18312,26,4,29403,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-06-25,Hobbies,Unlimited,2557,26560,14368,107,3,2192,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-25,Hobbies,Tinkering,8633,24343,20032,28,0,7494,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-24,Expansion,Products,34613,9901,5899,36,5,53254,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-06-24,Hobbies,Unlimited,2414,20389,12697,115,1,1936,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-24,Hobbies,Tinkering,10352,37298,18315,97,6,10974,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-24,Expansion,Products,23676,15690,19896,88,0,15696,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-06-24,Hobbies,Unlimited,1624,4805,20822,94,3,1129,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-24,Hobbies,Tinkering,1183,9455,45129,103,6,1763,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-23,Expansion,Products,11303,6823,7092,126,6,11869,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-06-23,Hobbies,Unlimited,4148,20908,21839,59,1,4098,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-23,Expansion,Products,23610,14680,8214,116,1,37967,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-06-23,Hobbies,Tinkering,1050,48185,37230,184,5,719,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-22,Hobbies,Unlimited,1217,19968,11276,66,2,1958,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-22,Hobbies,Tinkering,11019,54745,50803,47,3,15959,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-22,Expansion,Products,26767,10213,14567,22,6,39598,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-06-22,Hobbies,Tinkering,6603,31359,19135,29,1,8855,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-22,Hobbies,Unlimited,1063,15560,13865,88,1,1203,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-21,Expansion,Products,57803,9978,15218,168,1,77930,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-06-21,Hobbies,Tinkering,5111,33429,40448,103,2,4510,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-21,Hobbies,Unlimited,3885,5466,4384,126,1,5780,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-21,Expansion,Products,34665,17181,11768,60,4,31834,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-06-21,Hobbies,Unlimited,2034,10413,19114,125,3,2362,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-21,Hobbies,Tinkering,1525,48929,21469,145,4,2144,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-20,Expansion,Products,14071,23450,4855,64,6,15151,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-06-20,Hobbies,Unlimited,4364,19693,5675,36,2,4251,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-20,Hobbies,Tinkering,7854,10845,33669,117,4,11709,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-20,Hobbies,Business,0,0,0,0,0,0,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-20,Hobbies,Unlimited,1916,20886,8785,116,3,1553,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-20,Hobbies,Tinkering,3646,53636,21856,43,1,5365,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-19,Expansion,Products,49032,11936,8652,35,3,81192,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-06-19,Hobbies,Unlimited,1348,19891,22476,146,1,1731,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-19,Hobbies,Tinkering,11857,28582,47927,201,5,17292,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-19,Expansion,Products,41082,26653,17427,20,2,64792,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-06-19,Hobbies,Unlimited,2676,20567,15253,62,2,3412,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-18,Expansion,Products,37775,10517,11086,34,1,29771,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-06-18,Hobbies,Tinkering,3988,56188,24112,105,6,6837,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-18,Expansion,Products,16741,10324,10032,16,4,26800,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-06-18,Hobbies,Tinkering,8757,49340,15130,195,3,6948,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-18,Hobbies,Unlimited,3366,19684,4633,64,1,2272,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-17,Expansion,Products,13680,4112,18209,47,1,19544,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-06-17,Hobbies,Unlimited,4322,18930,16768,105,2,3296,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-17,Hobbies,Tinkering,2732,48666,50282,95,0,2647,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-17,Expansion,Products,12084,20466,19820,64,0,10039,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-06-17,Hobbies,Tinkering,5001,39947,23001,83,4,8176,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-16,Expansion,Products,29683,13671,13944,105,1,45218,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-06-16,Hobbies,Tinkering,1981,34972,49991,98,5,3120,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-16,Hobbies,Specific,0,0,0,0,0,0,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-16,Hobbies,Unlimited,1977,6837,6269,102,2,3258,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-16,Expansion,Products,21566,14210,8549,65,0,18892,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-06-16,Hobbies,Unlimited,3358,15613,12016,77,3,3361,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-15,Expansion,Products,33961,25254,15371,47,1,39700,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-06-15,Hobbies,Tinkering,10901,24832,22635,100,1,13309,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-15,Hobbies,Specific,2123,4595,8262,37,1,3600,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-15,Hobbies,Unlimited,4004,5450,12437,117,3,6569,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-15,Hobbies,Business,995,5535,3798,7,0,1306,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-15,Expansion,Products,18067,20039,22046,66,3,17597,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-06-15,Hobbies,Specific,2597,9318,7721,33,0,3849,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-15,Hobbies,Business,204,3630,5103,16,1,266,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-14,Expansion,Products,31783,4627,14851,31,5,47388,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-06-14,Hobbies,Business,4348,16920,20231,92,1,3752,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-14,Hobbies,Tinkering,4459,10775,52012,285,1,6079,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-14,Hobbies,Unlimited,3547,6977,6923,60,0,3284,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-14,Expansion,Products,17140,5784,2363,85,3,19816,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-06-14,Hobbies,Unlimited,2671,9363,4611,119,1,3068,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-14,Hobbies,Business,3189,8535,18047,59,1,4453,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-14,Hobbies,Specific,1167,32516,13530,66,1,1284,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-13,Expansion,Products,49496,15287,5407,70,4,70675,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-06-13,Hobbies,Tinkering,11356,10489,23409,217,5,16666,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-13,Hobbies,Specific,2543,19727,13571,120,2,2342,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-13,Expansion,Products,22504,12093,6014,68,2,15615,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-06-13,Hobbies,Unlimited,1416,6606,6876,72,1,1774,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-13,Hobbies,Business,1123,10939,19196,56,0,1313,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-12,Expansion,Products,36543,9715,21505,73,4,34451,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-06-12,Hobbies,Unlimited,3757,12462,15321,30,1,5199,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-12,Hobbies,Business,3154,12498,5411,49,0,4183,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-12,Hobbies,Tinkering,6244,27403,28470,87,2,4705,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-12,Hobbies,Specific,6046,31010,20815,103,4,9546,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-12,Expansion,Products,33442,19709,15435,31,1,24296,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-06-12,Hobbies,Specific,6492,22068,33294,17,2,7956,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-12,Hobbies,Business,1155,5366,14495,74,2,1776,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-12,Hobbies,Tinkering,6652,10956,38064,87,1,8072,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-11,Expansion,Products,40786,13346,9525,62,1,41369,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-06-11,Hobbies,Specific,8456,45050,25664,178,3,9620,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-11,Hobbies,Unlimited,2276,15790,12082,79,1,1767,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-11,Hobbies,Business,1188,7057,17248,65,1,1972,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-11,Hobbies,Tinkering,2318,11965,9291,41,4,3907,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-11,Expansion,Products,44721,17373,15833,72,2,42805,utm_source=google&utm_medium=cpc&utm_campaign=upgrade,Google
2022-06-11,Hobbies,Business,3465,18676,3152,42,1,3636,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-10,Expansion,Products,26147,22099,24000,50,3,33964,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
2022-06-10,Hobbies,Tinkering,7676,64869,29233,280,2,10032,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,Facebook
2022-06-10,Hobbies,Unlimited,1083,1650,5069,33,0,1606,utm_source=google&utm_medium=cpc&utm_campaign=upgrades,Google
2022-06-09,Expansion,Products,33720,13185,13781,93,1,51441,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,Facebook
